"Shipping Method Name","Shipping Method Code"
"LTL","TANDATA_LTL.LTL.LTL"
"Picked Up","OWD.NOBOX.PICKEDUP"
"UPS 2nd Day Air","UPS.2DA"
"UPS 2nd Day Air A.M.","UPS.2AM"
"UPS 3 Day Select","UPS.3DA"
"UPS Ground","UPS.GND"
"UPS Next Day Air","UPS.NDA"
"UPS Next Day Air A.M.","UPS.NAM"
"UPS Next Day Air Saver","UPS.NDS"
"UPS Standard Canada","UPS.STDCAMX"
"UPS Worldwide Expedited","UPS.WEPD"
"UPS Worldwide Express","UPS.WEXP"
"UPS Worldwide Express Plus","TANDATA_UPS.UPS.WEXPPLS"
"UPS Worldwide Express Saver","TANDATA_UPS.UPS.WEXPSVR"
"USPS Bnd Prt Mtr Single Piece","TANDATA_USPS.USPS.BPM"
"USPS Expr Mail-Addressee","POS.EXP"
"USPS Express Mail International","OWD_USPS_I_EXP_DMND"
"USPS First-Class Mail","OWD.1ST.LETTER"
"USPS First-Class Mail International","OWD_USPS_I_FIRST"
"USPS Library Mail Single-Piece","TANDATA_USPS.USPS.LIBRARY"
"USPS Media Mail Single-Piece","OWD.4TH.BOOK"
"USPS Parcel Post","OWD.4TH.PARCEL"
"USPS Priority Mail","OWD.1ST.PRIORITY"
"USPS Priority Mail International","OWD_USPS_I_PRIORITY"
